N,my_dct2,scipy_dct2,my_idct2,scipy_idct2
8.0,0.0,0.002995729446411133,0.0010030269622802734,0.0
16.0,0.0009937286376953125,0.0,0.0,0.0
32.0,0.002000093460083008,0.0,0.0030002593994140625,0.0
64.0,0.0069997310638427734,0.001001119613647461,0.00699925422668457,0.0
100.0,0.03000044822692871,0.0010001659393310547,0.02499842643737793,0.0
250.0,0.12900209426879883,0.0009989738464355469,0.1320042610168457,0.0009999275207519531
500.0,0.5079395771026611,0.004998445510864258,0.529000997543335,0.003996372222900391
750.0,1.4691097736358643,0.016997814178466797,1.6738877296447754,0.014004707336425781
1000.0,3.068934440612793,0.031998634338378906,2.9680020809173584,0.035999298095703125
1500.0,9.869999170303345,0.07799863815307617,9.09627389907837,0.07299923896789551
2000.0,17.61094832420349,0.1549999713897705,18.22200059890747,0.13004493713378906
3000.0,52.76096296310425,0.3409874439239502,55.344990491867065,0.315981388092041
4000.0,129.69900035858154,1.113008975982666,120.26206827163696,0.7739720344543457
